"id";"Name";"Address1";"Address2";"City";"Province";"Postal";"Fee";"Lat";"Lng"
1;"SOBEYS PHARMACY #1110";"11300 TUSCANY BLVD N.W.";"#2020";"CALGARY";"AB";"T3L2V7";"$11.80";"51.1247963";"-114.2484019"
2;"WALMART PHARMACY #1144";"WAL-MART PHARMACY LTD";"1221 CANYON MEADOWS DR S.E.";"CALGARY";"AB";"T2J6G2";"$11.80";"51.0486151";"-114.0708459"
3;"WALMART PHARMACY #3010";"MACLEOD MALL SHOP CTR";"9650 MACLEOD TRAIL S.E.";"CALGARY";"AB";"T2J0P7";"$11.81";"51.0486151";"-114.0708459"
4;"SAFEWAY PHARMACY #8812";"SOBEYS WEST INC.";"813 11 AVENUE  SW";"CALGARY";"AB";"T2R0E6";"$11.81";"51.0486151";"-114.0708459"
5;"SAFEWAY PHARMACY #8816";"SOBEYS WEST INC.";"3625 SHAGANAPPI TR. NW";"CALGARY";"AB";"T3A0E2";"$11.81";"51.0486151";"-114.0708459"
6;"SAFEWAY PHARMACY #8842";"SOBEYS WEST INC.";"1600 90 AVENUE SW";"CALGARY";"AB";"T2V5A8";"$11.81";"51.0486151";"-114.0708459"
7;"WALMART PHARMACY #1089";"7979 11 STREET SE";"";"CALGARY";"AB";"T2H0B8";"$11.82";"50.9840819";"-114.0461587"
8;"PHARMACY CARE";"TALA PHARMACEUTICALS INC";"3-5142 20 AVE SE";"CALGARY";"AB";"T2B0B1";"$11.82";"51.0486151";"-114.0708459"
9;"SAFEWAY PHARMACY #8841";"SOBEYS WEST INC.";"11011 BONAVENTURE DRIVE SE";"CALGARY";"AB";"T2J6S1";"$11.83";"51.0486151";"-114.0708459"
10;"SAFEWAY PHARMACY #8916";"SOBEYS WEST INC.";"5048 16 AVENUE N.W.";"CALGARY";"AB";"T3B0N3";"$11.83";"51.0486151";"-114.0708459"
11;"WALMART PHARMACY #5726";"8888 COUNTRY HILLS BLVD";"#200";"CALGARY";"AB";"T3G5T4";"$11.85";"51.1539636";"-114.2180065"
12;"SOBEYS PHARMACY #1117";"100-2335-162ND AVE SW";"";"CALGARY";"AB";"T2Y4S6";"$11.85";"50.9057764";"-114.1123218"
13;"SAFEWAY PHARMACY #8827";"SOBEYS WEST INC.";"2525 WOODVIEW DRIVE SW";"CALGARY";"AB";"T2B4N4";"$11.85";"51.0486151";"-114.0708459"
14;"SAFEWAY PHARMACY #8847";"SOBEYS WEST INC.";"70 SHAWVILLE BLVD SW";"CALGARY";"AB";"T2Y2Z3";"$11.86";"51.0486151";"-114.0708459"
15;"SAFEWAY PHARMACY #8912";"SOBEYS WEST INC.";"2425 34 AVENUE SW";"CALGARY";"AB";"T2T6E3";"$11.86";"51.0486151";"-114.0708459"
16;"SAFEWAY PHARMACY #8913";"SOBEYS WEST INC.";"1846 - 1632 14 AVENUE NW";"CALGARY";"AB";"T2N1M7";"$11.86";"51.0486151";"-114.0708459"
17;"WALMART PHARMACY #3151";"100 - 310 SHAWVILLE BLVD";"";"CALGARY";"AB";"T2V3S4";"$11.88";"50.9008149";"-114.0616401"
18;"SAFEWAY PHARMACY #8846";"SOBEYS WEST INC.";"9737 MACLEOD TRAIL SOUTH";"CALGARY";"AB";"T2J0P6";"$11.88";"51.0486151";"-114.0708459"
19;"SAFEWAY PHARMACY #8903";"SOBEYS WEST INC.";"375 ASPEN GLEN LANDING SW";"CALGARY";"AB";"T3H0N6";"$11.88";"51.0486151";"-114.0708459"
20;"SAFEWAY PHARMACY #8918";"SOBEYS WEST INC.";"5607 4 STREET NW";"CALGARY";"AB";"T2K1B3";"$11.90";"51.0486151";"-114.0708459"
21;"SAFEWAY PHARMACY #8849";"SOBEYS WEST INC.";"8120 BEDDINGTON BLVD NW";"CALGARY";"AB";"T3K2A8";"$11.91";"51.0486151";"-114.0708459"
22;"WALMART PHARMACY #3650";"4705 - 130TH AVE SE";"";"CALGARY";"AB";"T2Z4J2";"$11.92";"50.9293479";"-113.9667846"
23;"SAFEWAY PHARMACY #8850";"SOBEYS WEST INC.";"300-1440 52 STREET NE";"CALGARY";"AB";"T2A4T8";"$11.92";"51.0486151";"-114.0708459"
24;"SOBEYS PHARMACY #5028";"SILVERADO - SOBEYS CAPITAL INC";"#704 - 19369 SHERIFF KING ST SW";"CALGARY";"AB";"T2X0T9";"$11.93";"51.0486151";"-114.0708459"
25;"SAFEWAY PHARMACY #8833";"SOBEYS WEST INC.";"99 CROWFOOT CRESCENT NW";"CALGARY";"AB";"T3G2L5";"$11.93";"51.0486151";"-114.0708459"
26;"SAFEWAY PHARMACY #8835";"SOBEYS WEST INC.";"3550  32 AVENUE NE";"CALGARY";"AB";"T1Y6J2";"$11.93";"51.0486151";"-114.0708459"
27;"SAFEWAY PHARMACY #8823";"SOBEYS WEST INC.";"1818 CENTRE STREET NE";"CALGARY";"AB";"T2E2S6";"$11.94";"51.0486151";"-114.0708459"
28;"SAFEWAY PHARMACY #8826";"SOBEYS WEST INC.";"7740 18 ST SE";"CALGARY";"AB";"T2C2N5";"$11.95";"51.0486151";"-114.0708459"
29;"SOBEYS PHARMACY #5020";"CRANSTON";"3000-356 CRANSTON ROAD SE";"CALGARY";"AB";"T3M0S9";"$11.96";"50.891435";"-113.9864672"
30;"SAFEWAY PHARMACY #8989";"SOBEYS WEST INC.";"100 - 4915 130 AVENUE SE";"CALGARY";"AB";"T2Z3V8";"$11.96";"51.0486151";"-114.0708459"
31;"MEDISYSTEM PHARMACY";"ALBERTA LIMITED";"1639 32 AVE NE";"CALGARY";"AB";"T2E7A3";"$11.97";"51.0767917";"-114.0073602"
32;"SAFEWAY PHARMACY #8809";"SOBEYS WEST INC.";"1200 37 STREET SW";"CALGARY";"AB";"T3C1S2";"$11.97";"51.0486151";"-114.0708459"
33;"SAFEWAY PHARMACY #8803";"SOBEYS WEST INC.";"399 36 STREET NE";"CALGARY";"AB";"T2A7R4";"$11.98";"51.0486151";"-114.0708459"
34;"SAFEWAY PHARMACY #8844";"SOBEYS WEST INC.";"100-5005 DALHOUSIE DRIVE NW";"CALGARY";"AB";"T3A5R8";"$12.00";"51.0486151";"-114.0708459"
35;"SAFEWAY PHARMACY #8852";"SOBEYS WEST INC.";"200 STEWART GREEN SW";"CALGARY";"AB";"T3H3C8";"$12.01";"51.0486151";"-114.0708459"
36;"SOBEYS NOLAN HILLS #5191";"SOBEYS CAPITAL INC";"700-8 NOLAN HILLS BLVD NW";"CALGARY";"AB";"T3R0J3";"$12.01";"51.0486151";"-114.0708459"
37;"SANDSTONE PHARMACIES";"BONAVENTURE";"#101-12427 BONAVENTURE DR SE";"CALGARY";"AB";"T2J3N8";"$12.02";"50.9620793";"-114.0688332"
38;"SOBEYS PHARMACY #1129";"#125 - 8888 COUNTRY HILLS BLVD.";"";"CALGARY";"AB";"T3G5T4";"$12.03";"51.1539636";"-114.2180065"
39;"SOBEYS PHARMACY #1713";"FOREST";"5101 - 17 AVENUE SE";"CALGARY";"AB";"T2A0V7";"$12.03";"51.0525605";"-113.9585502"
40;"SALUS PHARMACARE INC";"4963 FRONT ST SE";"";"CALGARY";"AB";"T3M2M3";"$12.04";"50.8815879";"-113.94608"
41;"WALMART PHARMACY #3012";"MARLBOROUGH MALL";"3835 MEMORIAL DR NE";"CALGARY";"AB";"T2A2K2";"$12.05";"51.0595581";"-113.9700427"
42;"SAFEWAY PHARMACY #8831";"SOBEYS WEST INC.";"55 CASTLERIDGE BLVD NE";"CALGARY";"AB";"T3J3J8";"$12.05";"51.0486151";"-114.0708459"
43;"LONDON DRUGS #32 (377)";"#300-5255 RICHMOND ROAD";"";"CALGARY";"AB";"T3E7C4";"$12.07";"51.0169223";"-114.1614354"
44;"SOBEYS PHARMACY #1139";"500 COUNTRY HILLS BLVD NE";"#200";"CALGARY";"AB";"T3K4Y7";"$12.07";"51.1548615";"-114.0552208"
45;"MARSHALL DRUG STORE";"MARSHALL DRUGS LTD";"1231-9TH AVE SE";"CALGARY";"AB";"T2G0S9";"$12.07";"51.0486151";"-114.0708459"
46;"SAFEWAY PHARMACY #8990";"SOBEYS WEST INC.";"3737-37 STREET SW";"CALGARY";"AB";"T3E6L6";"$12.08";"51.0486151";"-114.0708459"
47;"SOBEYS PHARMACY #1145";"150 MILLRISE BLVD";"#2000";"CALGARY";"AB";"T2Y5G7";"$12.12";"50.9140742";"-114.0716974"
48;"LONDON DRUGS #40 (113)";"8120 BEDDINGTON BLVD N.W.";"#400";"CALGARY";"AB";"T3K2A8";"$12.13";"51.127154";"-114.073565"
49;"LONDON DRUGS #68";"500-8888 COUNTRY HILLS BLVD. NW";"";"CALGARY";"AB";"T3G5T4";"$12.13";"51.1539636";"-114.2180065"
50;"MARKET MALL PHARMACY &";"COMPOUNDING";"100-4935 40 AVE NW";"CALGARY";"AB";"T3A2N1";"$12.13";"51.0486151";"-114.0708459"
51;"LONDON DRUGS #30 (384)";"8330 MACLEOD TR SE";"";"CALGARY";"AB";"T2H2V2";"$12.15";"50.9785551";"-114.0700768"
52;"LONDON DRUGS #33 (734)";"3630 BRENTWOOD ROAD NW";"";"CALGARY";"AB";"T2L1K8";"$12.15";"51.0856775";"-114.126533"
53;"SAFEWAY PHARMACY #8909";"SOBEYS WEST INC.";"850 SADDLETOWNE CIRCLE NE";"CALGARY";"AB";"T3J0H5";"$12.15";"51.0486151";"-114.0708459"
54;"LONDON DRUGS #64";"4701-130TH AVENUE SE";"";"CALGARY";"AB";"T2Z4J2";"$12.16";"50.9313299";"-113.967534"
55;"LONDON DRUGS #58";"1508 - 8TH STREET SW";"";"CALGARY";"AB";"T2R1J9";"$12.18";"51.0387795";"-114.0810067"
56;"SHOPPERS DRUG MART #2390";"BABA PHARMACY INC";"P55-1610 37 STREET SW";"CALGARY";"AB";"T3C2P1";"$12.19";"51.0486151";"-114.0708459"
57;"SHOPPERS DRUG MART #2393";"C.K. DENNIS PHARMACY LTD";"T100-317-7TH AVENUE S.W.";"CALGARY";"AB";"T2P2Y9";"$12.21";"51.0486151";"-114.0708459"
58;"BRIDLEWOOD PHARMACY";"MBONG HOLDINGS INC";"95-2525 BRIDLECREST WAY SW";"CALGARY";"AB";"T2Y5J4";"$12.21";"51.0486151";"-114.0708459"
59;"BEACON PHARMACY";"UNIT 107-1213 4TH ST. S.W.";"";"CALGARY";"AB";"T2R0X7";"$12.22";"51.0411823";"-114.0718091"
60;"SHOPPERS DRUG MART #349";"KANJI RX DRUG LTD";"7606 ELBOW DR S.W";"CALGARY";"AB";"T2V1K2";"$12.22";"51.0486151";"-114.0708459"
61;"SHOPPERS DRUG MART #385";"AZITA PHARMACY CARE LTD";"1436 KENSINGTON RD. NW";"CALGARY";"AB";"T2N3P9";"$12.23";"51.0486151";"-114.0708459"
62;"SHOPPERS DRUG MART #316";"624511 ALBERTA LTD";"356-100 ANDERSON ROAD S.E.";"CALGARY";"AB";"T2J3V1";"$12.23";"51.0767917";"-114.0073602"
63;"SHOPPERS DRUG MART #311";"SUPINA APOTHECARY LTD";"#100 - 815 17TH AVENUE SW";"CALGARY";"AB";"T2T0A1";"$12.23";"51.0486151";"-114.0708459"
64;"SHOPPERS DRUG MART #2398";"RAMDAHIN PHARMACY LTD";"1941 UXBRIDGE DR. NW #23";"CALGARY";"AB";"T2N2V2";"$12.23";"51.0486151";"-114.0708459"
65;"SHOPPERS DRUG MART #2399";"IMOSS PHARMA LTD";"204 8338 18TH STREET SE";"CALGARY";"AB";"T2C4E4";"$12.23";"51.0486151";"-114.0708459"
66;"LONDON DRUGS #31";"3545-32ND AVE NE";"";"CALGARY";"AB";"T1Y6M6";"$12.24";"51.0808533";"-113.9843662"
67;"MEDICINE SHOPPE PHARMACY #158";"312-401 9TH AVE SW";"";"CALGARY";"AB";"T2P3C5";"$12.24";"51.0444388";"-114.0699278"
68;"SHOPPERS DRUG MART #354";"MARLBOROUGH MALL";"1231-3800 MEMORIAL DR. NE";"CALGARY";"AB";"T2A2K2";"$12.24";"51.0595581";"-113.9700427"
69;"SHOPPERS DRUG MART #2353";"MDA PHARMACY LTD";"110-620 MCKENZIE TOWNE DRIVE SE";"CALGARY";"AB";"T2Z0Y6";"$12.24";"51.0486151";"-114.0708459"
70;"SHOPPERS DRUG MART #2326";"NADER PHARMACY LTD";"1410 1ST STREET SE, UNIT #115";"CALGARY";"AB";"T2G5T7";"$12.24";"51.0486151";"-114.0708459"
71;"CORNERSTONE PHARMACY LTD.";"1-5102 RUNDELHORN DR NE";"";"CALGARY";"AB";"T1Y1C1";"$12.25";"51.071848";"-113.96062"
72;"SHOPPERS DRUG MART #358";"S. BERTOLIN PHARMACY LTD.";"24-6455 MACLEOD TRAIL S";"CALGARY";"AB";"T2H0K3";"$12.25";"51.0486151";"-114.0708459"
73;"SHOPPERS DRUG MART #356";"MARKET MALL";"3625 SHAGANAPPI TR.N.W.";"CALGARY";"AB";"T3A0E2";"$12.25";"50.8807052";"-113.9474221"
74;"RICHMOND SQUARE PHARMACY";"70 - 3915 51ST STREET SOUTH WEST";"";"CALGARY";"AB";"T3E6N1";"$12.25";"51.020111";"-114.1628495"
75;"SHOPPERS DRUG MART #2361";"GILL PHARMACY SERVICES LTD";"2412 4TH ST SW";"CALGARY";"AB";"T2S2T4";"$12.25";"51.0486151";"-114.0708459"
76;"SHOPPERS DRUG MART #2387";"HOPEWELL PHARMACY LTD";"2067 33RD AVENUE SW";"CALGARY";"AB";"T2T1Z5";"$12.25";"51.0486151";"-114.0708459"
